Japanese_Input,Japanese,Type,Image,Audio,Vietnamese,Korean,Chinese_Simplified,Chinese_Traditional,English,Spanish_LA,Spanish_SP,Word_1,Word_2,Word_3,Word_4,Word_Example_1,Word_Example_2,Word_Example_3,Word_Example_4,Word_Example_1_Audio,Word_Example_2_Audio,Word_Example_3_Audio,Word_Example_4_Audio
‎のび太君のお手本に<br>‎なってあげてよ！,‎のび 太[た] 君[くん]のお 手本[てほん]に<br>‎なってあげてよ！,のび太君のお手本になってあげてよ,"<img src=""Doraemon_S01E816_Episode_348222.jpeg"">",[sound:Doraemon_S01E816_Episode_348072.mp3],Hãy làm gương cho Nobita đi!,,,,Be a role model for Nobita!,,,お 手本[てほん]: 模範[もはん]。,~てあげる: 行為[こうい]を 相手[あいて]にしてあげる。,,,兄[あに]は 弟[おとうと]の 手本[てほん]になる。,荷物[にもつ]を 持[も]ってあげた。,,,[sound:hypertts-7a67fdc3b0a1d626cb5ac417d3e5dc631832b482509109fc2dc4670e.mp3],[sound:hypertts-375635ab4f195fdbcc58b6a31c118babdd2826b0187fa0243e9933f6.mp3],,
‎同じじゃないわよ！<br>‎これはＳサイズ こっちはＭサイズ<br>‎で これがＬサイズ,‎ 同[おな]じじゃないわよ！<br>‎これは Ｓ[えす]サイズこっちは Ｍ[えむ]サイズ<br>‎でこれが Ｌ[える]サイズ,同じじゃないわよこれはＳサイズこっちはＭサイズでこれがＬサイズ,"<img src=""Doraemon_S01E816_Episode_369285.jpeg"">",[sound:Doraemon_S01E816_Episode_369135.mp3],"Không giống đâu! Cái này cỡ S, cái kia cỡ M, còn cái này là L.",,,,"They’re not the same! This is S size, this one M, and this one L.",,,同[おな]じじゃない: 違[ちが]いを 強調[きょうちょう]。,サイズ: 大[おお]きさを 表[あらわ]す。,,,答[こた]えは 同[おな]じじゃない。,サイズを 測[はか]る。,,,[sound:hypertts-adabd7c6481e88fd2c14239b8dfb8f958a8a73d75bd48387154f6696.mp3],[sound:hypertts-b218ee6d7ddcf6c21ef5d0c7b12da091f9f3047bacf10747cec49389.mp3],,
‎10年前はＳサイズだったんだけど<br>‎少し太ってＭサイズになって<br>‎それもキツくなったから<br>‎Ｌサイズを買ったのよ,‎ 10 年[ねん] 前[まえ]は Ｓ[えす]サイズだったんだけど<br>‎ 少[すこ]し 太[ふと]って Ｍ[えむ]サイズになって<br>‎それもキツくなったから<br>‎ Ｌ[える]サイズを 買[か]ったのよ,10年前はＳサイズだったんだけど少し太ってＭサイズになってそれもキツくなったからＬサイズを買ったのよ,"<img src=""Doraemon_S01E816_Episode_379754.jpeg"">",[sound:Doraemon_S01E816_Episode_379604.mp3],"Mười năm trước mẹ mặc size S, sau tăng cân thành M, rồi chật nên mua size L.",,,,"Ten years ago I was an S, then I gained weight and moved to M, and when that got tight, I bought L.",,,~んだけど: 話[はなし]の 導入[どうにゅう]。,太[ふと]る: 体重[たいじゅう]が 増[ふ]える。,キツい: 窮屈[きゅうくつ]。,,旅行[りょこう]に 行[い]ったんだけど…。,最近[さいきん] 太[ふと]ってしまった。,この 靴[くつ]はキツい。,,[sound:hypertts-6b0b5b0b0a8c24bc3fc9fbb0922ba8df9145f269ab36a9a2b492c993.mp3],[sound:hypertts-ebf2f3bc9f4a62181d24fa555ab71c7fd4583ca0f193ee61868fef9a.mp3],[sound:hypertts-7afbd902030fd73d96c74622902d23a969b478efe9dd1b96213b0a80.mp3],
‎お菓子の包み紙や紙袋が<br>‎こんなにいっぱい！,‎お 菓子[かし]の 包み紙[つつみがみ]や 紙袋[かみぶくろ]が<br>‎こんなにいっぱい！,お菓子の包み紙や紙袋がこんなにいっぱい,"<img src=""Doraemon_S01E816_Episode_398606.jpeg"">",[sound:Doraemon_S01E816_Episode_398456.mp3],Giấy gói kẹo với túi giấy—nhiều thế này!,,,,Candy wrappers and paper bags—so many of them!,,,包み紙[つつみがみ]: 包[つつ]む 紙[かみ]。,いっぱい:たくさん。,,,プレゼントの 包み紙[つつみがみ]を 開[あ]ける。,ご 飯[はん]をいっぱい 食[た]べた。,,,[sound:hypertts-82754577fba4d1ce2b2130c828982e5c880a4009573f258f35540202.mp3],[sound:hypertts-94a47e5c15882f5b4b6fe4c37678942302f1e1c9e64d9b131386f4af.mp3],,
‎（のび太のママ）へそくり？,‎（のび 太[た]のママ）へそくり？,へそくり,"<img src=""Doraemon_S01E816_Episode_408658.jpeg"">",[sound:Doraemon_S01E816_Episode_408508.mp3],Tiền giấu riêng à?,,,,Secret savings?,,,へそくり: 家族[かぞく]に 隠[かく]して 貯[た]めるお 金[かね]。,,,,老後[ろうご]のためにへそくりをしている。,,,,[sound:hypertts-2bdd9e42dc6bb07e8d7f3a659831772933ea899ef922dc74327a3774.mp3],,,
‎これは没収します！,‎これは 没収[ぼっしゅう]します！,これは没収します,"<img src=""Doraemon_S01E816_Episode_414705.jpeg"">",[sound:Doraemon_S01E816_Episode_414555.mp3],Cái này tôi tịch thu!,,,,I’m confiscating this!,,,没収[ぼっしゅう]する: 強制的[きょうせいてき]に 取り上[とりあ]げる。,,,,携帯[けいたい]を 先生[せんせい]に 没収[ぼっしゅう]された。,,,,[sound:hypertts-0a6e38c9adf75ccf70f2551f3a178fa8fde878720d4f4aa0841dd548.mp3],,,
‎庭の物置に入ってる物ね,‎ 庭[にわ]の 物置[ものおき]に 入[はい]ってる 物[もの]ね,庭の物置に入ってる物ね,"<img src=""Doraemon_S01E816_Episode_417625.jpeg"">",[sound:Doraemon_S01E816_Episode_417475.mp3],Đồ để trong kho ngoài vườn.,,,,The things stored in the shed in the yard.,,,物置[ものおき]: 物[ぶつ]をしまう 小屋[こや]。,入[はい]ってる: 中[ちゅう]に 存在[そんざい]する。,,,古[ふる]い 自転車[じてんしゃ]を 物置[ものおき]に 置[お]いた。,箱[はこ]におもちゃが 入[はい]ってる。,,,[sound:hypertts-56fbcfba58f50b17bf5b08edb9d9832f5d01e737204cd6af06c518ba.mp3],[sound:hypertts-c9cfe82039b6b6dbed7172b95b7f53e850b6bf596e8ff657ab2d70c9.mp3],,
‎あのラジオや扇風機は<br>‎もういらないんじゃない？,‎あのラジオや 扇風機[せんぷうき]は<br>‎もういらないんじゃない？,あのラジオや扇風機はもういらないんじゃない,"<img src=""Doraemon_S01E816_Episode_420211.jpeg"">",[sound:Doraemon_S01E816_Episode_420061.mp3],Cái radio và quạt kia chắc không cần nữa nhỉ?,,,,"That radio and fan—you don’t need them anymore, right?",,,いらない: 必要[ひつよう]ない。,~んじゃない: 軽[かる]い 推量[すいりょう]・ 確認[かくにん]。,,,そんな 本[ほん]はいらない。,少[すこ]し 休[やす]んだらいいんじゃない？,,,[sound:hypertts-981fd11fa8b8b51aa99cbe2ea78437699fb59faae90dff6843968693.mp3],[sound:hypertts-fa958cdba2754c46dae03a0e41e7456d339836c34091f2ef4a6f9066.mp3],,
‎それに骨董(こっとう)品として<br>‎値打ちが出るかもしれない,‎それに 骨董[こっとう] 品[ひん]として<br>‎ 値打[ねう]ちが 出[で]るかもしれない,それに骨董品として値打ちが出るかもしれない,"<img src=""Doraemon_S01E816_Episode_425091.jpeg"">",[sound:Doraemon_S01E816_Episode_424941.mp3],"Hơn nữa, có thể chúng còn có giá trị như đồ cổ.",,,,"Besides, they might even gain value as antiques.",,,骨董品[こっとうひん]: 古[ふる]くて 価値[かち]ある 物[もの]。,値打[ねう]ち: 評価[ひょうか]される 価値[かち]。,かもしれない: 推量[すいりょう]。,,骨董品[こっとうひん]を 集[あつ]める。,この 絵[え]には 大[おお]きな 値打[ねう]ちがある。,明日[あした]は 雨[あめ]かもしれない。,,[sound:hypertts-e4720312ff584ad5a0819fbdf2e174f57262b1cb7e59b5351cba0566.mp3],[sound:hypertts-41690b39813b41b5b7a69b1ae7daf6ea28c0356cf9af349bff45eb7b.mp3],[sound:hypertts-dd26dd42d50863969bdef5cc813c262a7e154895cd07d79fb6f37e4d.mp3],
‎こっちは最初のボーナスで<br>‎思い切って買った憧れのブランデー,‎こっちは 最初[さいしょ]のボーナスで<br>‎ 思い切[おもいき]って 買[か]った 憧[あこが]れのブランデー,こっちは最初のボーナスで思い切って買った憧れのブランデー,"<img src=""Doraemon_S01E816_Episode_444360.jpeg"">",[sound:Doraemon_S01E816_Episode_444210.mp3],"Cái này—tôi đã mạnh dạn mua bằng khoản thưởng đầu tiên, chai rượu brandy ao ước.",,,,"This one—I splurged on it with my first bonus, it was my dream brandy.",,,思い切[おもいき]って:ためらわずに。,憧[あこが]れ: 強[つよ]く 望[のぞ]む 対象[たいしょう]。,ボーナス: 特別[とくべつ] 手当[てあて]。,,思い切[おもいき]って 留学[りゅうがく]した。,彼[かれ]は 憧[あこが]れの 人[ひと]だ。,夏[なつ]にボーナスが 出[で]た。,,[sound:hypertts-a9d47aa58a7f115d343de767d033d0a5fabca83e7fda121445f167cc.mp3],[sound:hypertts-988bdd878e83704d045868dcc5c390970f7a09d5e834570ed248fd5e.mp3],[sound:hypertts-5449ebb30b6baebb12c84327347e17d98d457db80efd867b0aba138e.mp3],
‎えっ そんな便利な物が<br>‎あるなら貸してよ,‎えっそんな 便利[べんり]な 物[もの]が<br>‎あるなら 貸[か]してよ,えっそんな便利な物があるなら貸してよ,"<img src=""Doraemon_S01E816_Episode_474807.jpeg"">",[sound:Doraemon_S01E816_Episode_474657.mp3],Hả? Nếu có thứ tiện lợi vậy thì cho tớ mượn đi!,,,,"What? If there’s such a useful thing, lend it to me!",,,便利[べんり]: 使[つか]いやすい。,~てよ: 頼[たの]みを 強調[きょうちょう]。,,,このアプリはとても 便利[べんり]だ。,手伝[てつだ]ってよ。,,,[sound:hypertts-364615f0f12bca4e5b9e16957ce3125dca4eff22ad521e5fd33eb59e.mp3],[sound:hypertts-e13fde81937a0ba4fbb2e3dec0e3ee4ff78ea218bec2e2f1b8686139.mp3],,
‎実はママが家じゅうの物を<br>‎減らしたいって言ってるんだ,‎ 実[じつ]はママが 家[いえ]じゅうの 物[もの]を<br>‎ 減[へ]らしたいって 言[い]ってるんだ,実はママが家じゅうの物を減らしたいって言ってるんだ,"<img src=""Doraemon_S01E816_Episode_479478.jpeg"">",[sound:Doraemon_S01E816_Episode_479328.mp3],Thật ra mẹ bảo muốn giảm bớt đồ trong nhà.,,,,"Actually, Mom said she wants to reduce the things in the house.",,,実[じつ]は: 本当[ほんとう]を 打ち明[うちあ]ける。,減[へ]らす: 少[すく]なくする。,~って 言[い]う: 引用[いんよう] 表現[ひょうげん]。,,実[じつ]は 彼[かれ]と 知り合[しりあ]いです。,食費[しょくひ]を 減[へ]らす。,明日[あした] 行[い]くって 言[い]った。,,[sound:hypertts-a300e26c3025aedccc8abc2c950b1eb47f21907dc6253916d1c23288.mp3],[sound:hypertts-ea9fccc709b7606dec1886b2986aa4b9b8accb9c218f82c5b8bf92fe.mp3],[sound:hypertts-4baf0019abeec063954c7510041e309dcd591873f524ca2e58b4c1d7.mp3],
‎地下収納庫もあるからね,‎ 地下[ちか] 収納庫[しゅうのうこ]もあるからね,地下収納庫もあるからね,"<img src=""Doraemon_S01E816_Episode_499832.jpeg"">",[sound:Doraemon_S01E816_Episode_499682.mp3],Nhà mình còn có kho dưới hầm nữa đấy.,,,,"We also have a basement storage, you know.",,,地下[ちか] 収納庫[しゅうのうこ]: 地下[ちか]にある 倉庫[そうこ]。,からね: 理由[りゆう]や 説明[せつめい]を 柔[やわ]らかく 述[の]べる。,,,ワインを 地下[ちか] 収納庫[しゅうのうこ]に 入[い]れる。,忙[いそが]しいからね、また 今度[こんど]。,,,[sound:hypertts-d126fe4962a402dcd3f79c916b20e7e8879cacf248883871f05f828a.mp3],[sound:hypertts-63aa2f26016227ec824cf1a3b7e75c6026b7b9e1f54d5f900afa05b3.mp3],,
‎あんな物まで捨てちゃうんだ…,‎あんな 物[もの]まで 捨[す]てちゃうんだ…,あんな物まで捨てちゃうんだ,"<img src=""Doraemon_S01E816_Episode_537870.jpeg"">",[sound:Doraemon_S01E816_Episode_537720.mp3],Ngay cả mấy thứ đó cũng vứt đi sao…,,,,They even throw away things like that…,,,~まで: 範囲[はんい]の 極端[きょくたん]さ。,捨[す]てちゃう: 捨[す]ててしまう。,,,子供[こども]まで 泣[な]き 出[だ]した。,古[ふる]い 服[ふく]を 捨[す]てちゃった。,,,[sound:hypertts-fecd551a27ef52ec8d24c899c12350e8f6fa7b38dc78fa23af77860e.mp3],[sound:hypertts-e3266bda47a98f63936fed4d17241012978737b08d2a0eed39129058.mp3],,
‎今日は<br>‎これくらいにしておくざます<br>‎ざます！,‎ 今日[きょう]は<br>‎これくらいにしておくざます<br>‎ざます！,今日はこれくらいにしておくざますざます,"<img src=""Doraemon_S01E816_Episode_548756.jpeg"">",[sound:Doraemon_S01E816_Episode_548606.mp3],"Hôm nay đến đây thôi, cũng tàm tạm rồi—Tàm tạm thôi!",,,,"That’s enough for today, We’ll stop here—Let's stop here!",,,ざます: 古風[こふう]・お 嬢様[じょうさま] 口調[くちょう]。,これくらいにしておく: 今回[こんかい]はここでやめる。,,,ごきげんようざます。,勉強[べんきょう]はこれくらいにしておこう。,,,[sound:hypertts-cf833e68edb8a5efd4a4a0cd623c2e78682976136b73451c2b7dc522.mp3],[sound:hypertts-1f0f3fe2e70362fd7d057aed3356c9378ca15a6249b91e9bc3fc2f6e.mp3],,
‎大丈夫 どこに何があるかは<br>‎分かってるから,‎ 大丈夫[だいじょうぶ]どこに 何[なに]があるかは<br>‎ 分[わ]かってるから,大丈夫どこに何があるかは分かってるから,"<img src=""Doraemon_S01E816_Episode_572572.jpeg"">",[sound:Doraemon_S01E816_Episode_572422.mp3],"Không sao đâu, con biết mọi thứ để ở đâu cả ấy.",,,,"Don’t worry, I know where everything is.",,,大丈夫[だいじょうぶ]: 安心[あんしん]させる 表現[ひょうげん]。,どこに 何[なに]があるか: 場所[ばしょ]と 内容[ないよう]を 示[しめ]す 疑問[ぎもん] 節[ぶし]。,,,それは 大丈夫[だいじょうぶ]です。,財布[さいふ]がどこにあるか 分[わ]かる。,,,[sound:hypertts-f8faa281ff0e229560cfdb8d52cd33b5bc64972b46d6bff13d496e09.mp3],[sound:hypertts-f889d674d0efc37ec6a7d5adbd53b04ffbae3ad38043f5cf58f93293.mp3],,
‎ちょっと<br>‎捨てすぎちゃったざます<br>‎ざます！,‎ちょっと<br>‎ 捨[す]てすぎちゃったざます<br>‎ざます！,ちょっと捨てすぎちゃったざますざます,"<img src=""Doraemon_S01E816_Episode_591549.jpeg"">",[sound:Doraemon_S01E816_Episode_591399.mp3],"Ối, mẹ con mình lỡ vứt hơi nhiều quá—Nhỉ!",,,,"Oops, We threw away a bit too much—A bit too much!",,,捨[す]てすぎる: 捨[す]てる 量[りょう]が 多[おお]すぎる。,ざます: 古風[こふう]な 語尾[ごび]。,,,食[た]べすぎてお 腹[なか]が 痛[いた]い。,お 元気[げんき]ざますか？,,,[sound:hypertts-1699737fe5760df5d72c4635558ead9344ef55168979e5b85001dbb8.mp3],[sound:hypertts-4fb536a115fef33553e1d381f579f80ce7ba440e319592364280ed28.mp3],,
